,year_month,accumulate_basinp,accumulate_riop,accumulate_simao,accumulate_emborcacao,accumulate_itumbiara,accumulate_corumba,accumulate_corumba1,accumulate_corumba3,accumulate_corumba4,Paranaiba_total
149,201211,206.79,57.97,199.11,264.05,202.26,186.27,235.53,327.38,336.92,2016.2800000000002
150,201212,169.2,58.11,169.79,145.26,135.26,211.25,151.88,149.31,168.5,1358.56
151,201301,263.02,141.54,267.48,303.62,284.29,284.0,303.98,195.47,351.14,2394.54
152,201302,168.67,60.68,154.98,96.82,120.58,148.37,108.99,41.84,92.71,993.6400000000001
153,201303,209.32,127.46,211.11,194.93,234.98,257.88,250.56,171.14,224.42,1881.7999999999997
154,201304,103.15,116.22,91.61,102.55,109.56,138.42,122.84,44.24,86.77,915.36
155,201305,18.1,44.83,33.5,37.25,75.37,34.01,27.13,19.14,25.44,314.77
156,201306,42.97,15.92,17.72,18.47,13.69,19.04,14.61,24.96,11.79,179.17000000000002
157,201307,6.68,9.92,1.74,3.52,1.52,0.16,0.03,0.02,0.85,24.44
158,201308,0.05,2.56,0.33,1.56,4.79,0.04,0.46,0.16,1.93,11.879999999999999
159,201309,21.84,3.66,24.77,30.71,21.64,25.01,27.62,34.54,23.1,212.89
160,201310,117.58,20.29,90.71,131.5,133.21,106.98,121.18,138.96,183.53,1043.94
161,201311,106.32,65.77,188.4,162.33,156.25,198.43,141.51,120.53,172.05,1311.59
162,201312,165.71,118.32,181.03,256.36,210.74,215.19,237.05,173.86,230.28,1788.5399999999997
163,201401,120.9,60.08,105.35,125.7,90.05,93.64,107.09,83.77,127.95,914.5300000000001
164,201402,165.34,117.58,128.96,71.69,68.56,108.22,117.01,129.28,191.19,1097.83
165,201403,194.83,138.71,210.82,111.1,129.66,208.08,266.96,358.01,311.52,1929.69
166,201404,129.99,133.24,99.56,120.52,110.09,91.9,155.35,150.77,202.31,1193.73
167,201405,20.16,57.67,3.92,10.62,17.86,2.4,3.5,2.79,4.17,123.09000000000002
168,201406,8.81,10.39,2.07,2.03,1.44,1.04,1.94,1.81,2.75,32.28
169,201407,89.95,10.38,63.39,26.62,67.15,64.85,17.78,1.39,3.22,344.73
170,201408,0.04,5.3,0.18,0.8,0.33,0.16,0.01,0.06,0.2,7.079999999999999
171,201409,66.8,7.47,38.85,14.65,17.08,39.12,15.74,14.14,35.79,249.64000000000001
172,201410,57.32,35.02,33.74,38.85,52.77,19.95,36.67,31.45,64.04,369.81
173,201411,202.81,86.28,200.15,204.13,273.83,227.25,209.61,172.32,161.71,1738.09
174,201412,215.03,64.45,212.42,193.91,171.74,195.38,212.84,185.17,179.61,1630.5499999999997
175,201501,100.09,52.86,104.09,63.86,73.01,99.97,58.36,56.86,69.81,678.9100000000001
176,201502,222.74,149.22,189.35,158.64,240.16,222.56,125.49,134.86,161.59,1604.61
177,201503,223.6,170.33,207.7,167.59,235.17,215.48,209.28,177.22,216.49,1822.86
178,201504,112.24,109.29,96.93,78.06,83.66,105.91,170.46,155.85,145.0,1057.4
179,201505,94.62,47.95,59.09,55.73,76.32,29.43,22.3,10.28,41.07,436.78999999999996
180,201506,19.65,14.59,11.64,17.2,25.28,24.98,6.3,0.42,3.11,123.17
181,201507,46.26,7.88,10.34,2.41,5.48,7.71,2.16,1.59,3.77,87.6
182,201508,11.72,1.92,6.21,2.37,0.48,6.73,5.16,3.49,21.21,59.290000000000006
183,201509,48.35,1.71,48.11,69.33,71.78,39.05,25.21,26.99,41.43,371.96
184,201510,84.55,8.84,53.27,60.9,54.59,51.21,64.93,61.15,85.05,524.4899999999999
185,201511,209.39,29.95,214.24,185.99,197.54,206.77,207.19,171.61,166.22,1588.8999999999999
186,201512,214.36,16.74,175.58,136.51,197.08,151.03,174.0,167.08,206.3,1438.68
187,201601,259.59,314.74,333.9,345.74,341.97,328.95,381.17,445.49,362.23,3113.78
188,201602,128.64,63.84,110.63,128.69,126.28,118.58,110.57,157.56,144.19,1088.98
189,201603,131.13,119.62,176.33,158.97,199.85,181.25,158.07,181.97,159.06,1466.25
190,201604,35.7,42.22,9.79,7.24,5.39,5.65,10.78,7.16,3.99,127.92
191,201605,60.24,26.17,20.92,11.69,10.39,12.32,15.29,7.15,13.76,177.92999999999998
192,201606,28.62,8.79,21.6,17.51,41.83,9.13,0.63,0.75,0.76,129.61999999999998
193,201607,0.32,2.1,0.01,0.03,0.0,0.0,0.0,0.0,0.0,2.4599999999999995
194,201608,26.93,0.3,28.12,13.47,20.73,8.29,11.09,18.22,19.28,146.43
195,201609,29.75,13.2,16.45,17.11,13.62,14.5,26.64,34.86,35.57,201.7
196,201610,97.3,22.98,118.09,86.56,121.19,116.84,98.7,110.88,128.53,901.07
197,201611,133.17,31.01,186.09,220.57,222.75,174.69,227.94,266.17,232.59,1694.98
198,201612,221.07,66.43,171.82,208.42,226.67,192.56,166.55,142.87,148.41,1544.8
199,201701,269.96,85.95,193.41,146.73,207.09,225.48,194.8,156.41,168.94,1648.77
200,201702,131.76,170.96,140.07,180.9,150.24,117.16,191.9,214.29,224.94,1522.22
201,201703,201.81,149.19,192.67,104.61,110.39,132.1,143.79,113.42,151.49,1299.47
202,201704,55.43,105.73,107.12,33.24,53.68,108.7,54.69,32.02,88.57,639.1799999999998
203,201705,59.33,40.64,53.03,59.97,72.92,62.96,54.23,40.7,36.96,480.73999999999995
204,201706,6.39,13.75,1.14,3.16,5.9,2.74,0.47,0.54,0.6,34.690000000000005
205,201707,0.54,10.29,0.0,0.01,0.1,0.0,0.0,0.0,0.0,10.939999999999998
206,201708,17.08,5.18,0.79,2.47,0.21,0.01,0.0,0.0,0.0,25.74
207,201709,2.81,0.73,2.59,0.94,0.26,0.93,4.39,6.13,9.23,28.009999999999998
208,201710,69.79,3.33,54.64,87.47,95.78,56.64,47.67,56.01,47.52,518.85
209,201711,252.13,58.16,255.2,225.77,246.39,253.73,211.91,197.82,190.82,1891.93
210,201712,256.95,67.92,216.93,205.11,219.4,211.26,215.51,194.56,236.33,1823.9699999999998
211,201801,201.04,97.68,197.01,155.99,186.82,235.4,188.8,212.15,142.91,1617.8000000000002
212,201802,168.88,230.91,162.32,205.59,194.09,199.5,245.18,223.76,174.16,1804.39
213,201803,128.02,155.91,125.63,121.05,91.91,105.33,128.53,133.15,174.42,1163.95
