Date,Maximum Demand (in MW)
4/4/18,44790.254
4/5/18,45034.906
4/6/18,44689.613
4/7/18,42936.82
4/8/18,39932.074
4/9/18,44262.762
4/10/18,44506.191
4/11/18,44528.11
4/12/18,44007.781
4/13/18,45261.93
4/14/18,42782.359
4/15/18,38373.969
4/16/18,41429.629
4/17/18,42047.262
4/18/18,42294.566
4/19/18,42815.09
4/20/18,42455.21
4/21/18,40185.086
4/22/18,39109.969
4/23/18,42307.57
4/24/18,43875.566
4/25/18,44325.785
4/26/18,44496.27
4/27/18,44339.152
4/28/18,42856.945
4/29/18,39288.59
4/30/18,41690.102
5/1/18,40131.313
5/2/18,43508.93
5/3/18,43890.313
5/4/18,43903.781
5/5/18,43095.777
5/6/18,39744.289
5/7/18,42819.57
5/8/18,42472.11
5/9/18,42448.965
5/10/18,42734.438
5/11/18,42805.17
5/12/18,42130.602
5/13/18,37868.184
5/14/18,42731.363
5/15/18,43322.012
5/16/18,43469.695
5/17/18,43147.734
5/18/18,43549.66
5/19/18,41242.145
5/20/18,38051.62
5/21/18,40669.691
5/22/18,41329.863
5/23/18,40727.113
5/24/18,40543.184
5/25/18,40019.344
5/26/18,39010.133
5/27/18,37495.566
5/28/18,39588.42
5/29/18,39505
5/30/18,39376.578
5/31/18,38178.05
6/1/18,39847.898
6/2/18,39856.16
6/3/18,37639.71
6/4/18,40163.168
6/5/18,40970.5
6/6/18,41217.539
6/7/18,41303.109
6/8/18,41345.602
6/9/18,41141.902
6/10/18,38944.023
6/11/18,42142.7
6/12/18,43515.383
6/13/18,43291.516
6/14/18,41685.93
6/15/18,41233.465
6/16/18,41165.523
6/17/18,36812.82
6/18/18,41007.418
6/19/18,41698.051
6/20/18,42078.355
6/21/18,42539.348
6/22/18,42094.941
6/23/18,42044.691
6/24/18,38767.754
6/25/18,42015.602
6/26/18,42985.813
6/27/18,40773.129
6/28/18,42900.336
6/29/18,42275.004
6/30/18,42009.172
7/1/18,39345.086
7/2/18,41797.895
7/3/18,43062.313
7/4/18,42773.715
7/5/18,42910.84
7/6/18,39811.461
7/7/18,42169.18
7/8/18,38453
7/9/18,39775.465
7/10/18,40872.129
7/11/18,41865.48
7/12/18,42062.734
7/13/18,41920.449
7/14/18,41574.531
7/15/18,38676.621
7/16/18,42306.801
7/17/18,42530.563
7/18/18,43042.051
7/19/18,43353.723
7/20/18,43282.531
7/21/18,41368.07
7/22/18,38312.457
7/23/18,41996.875
7/24/18,42283.801
7/25/18,42870.805
7/26/18,42779.211
7/27/18,42770.473
7/28/18,42067.453
7/29/18,39442.152
7/30/18,42565.578
7/31/18,42218.465
8/1/18,41883.238
8/2/18,41904.066
8/3/18,41330.047
8/4/18,41970.863
8/5/18,38639.137
8/6/18,41424.594
8/7/18,41519.074
8/8/18,42732.969
8/9/18,42768.711
8/10/18,41439.4
8/11/18,40865.83
8/12/18,37385.81
8/13/18,41555.48
8/14/18,42216.16
8/15/18,42036.945
8/16/18,42152.79
8/17/18,41618
8/18/18,41361.961
8/19/18,38312.21
8/20/18,41675.266
8/21/18,42013.125
8/22/18,42158.707
8/23/18,43431.52
8/24/18,43009.12
8/25/18,41077.621
8/26/18,37172.035
8/27/18,40907.844
8/28/18,41762.328
8/29/18,42649.81
8/30/18,43106.605
8/31/18,42870.813
9/1/18,41922.914
9/2/18,39058.332
9/3/18,41509.87
9/4/18,41699.121
9/5/18,41259.91
9/6/18,41447.277
9/7/18,40081.031
9/8/18,40231.031
9/9/18,38573.043
9/10/18,41696.14
9/11/18,42587.289
9/12/18,42755.348
9/13/18,43033.371
9/14/18,41908.66
9/15/18,41624.754
9/16/18,38513.863
9/17/18,41621.719
9/18/18,43584.43
9/19/18,44499.664
9/20/18,43167.06
9/21/18,43850.39
9/22/18,42029.367
9/23/18,39353.52
9/24/18,45104.61
9/25/18,45006.26
9/26/18,46331.96
9/27/18,45729.16
9/28/18,43536.25
9/29/18,42181.21
9/30/18,39152.57
10/1/18,43423.57
10/2/18,45959.06
10/3/18,47135.57
10/4/18,45431.61
10/5/18,42939.08
10/6/18,40460.81
10/7/18,36901.53
10/8/18,43012.35
10/9/18,44718.082
10/10/18,45557.56
10/11/18,43702.922
10/12/18,40687.09
10/13/18,42203.31
10/14/18,38546.47
10/15/18,42452.26
10/16/18,43799.07
10/17/18,44815.92
10/18/18,46259.9
10/19/18,43069.57
10/20/18,40682.27
10/21/18,37276.13
10/22/18,42497.54
10/23/18,44257.65
10/24/18,43226.1
10/25/18,43166.691
10/26/18,43768.043
10/27/18,41943.926
10/28/18,37146.773
10/29/18,41445.262
10/30/18,42846.93
10/31/18,45940.551
11/1/18,44648.066
11/2/18,40082.328
11/3/18,41712.125
11/4/18,38004.379
11/5/18,41396.324
11/6/18,41807
11/7/18,42181.64
11/8/18,41002.941
11/9/18,40826.574
11/10/18,40503.445
11/11/18,38475.059
11/12/18,44822.492
11/13/18,46321.492
11/14/18,47573.56
11/15/18,41947.02
11/16/18,42322.94
11/17/18,40247.9
11/18/18,39395.563
11/19/18,41352.32
11/20/18,40071.754
11/21/18,41333.543
11/22/18,43321
11/23/18,44388.512
11/24/18,40807.137
11/25/18,38791.87
11/26/18,42453.26
11/27/18,43160.395
11/28/18,44473.148
11/29/18,46086.31
11/30/18,46141.68
12/1/18,42120.93
12/2/18,38651.172
12/3/18,42090.934
12/4/18,44261.18
12/5/18,46498.074
12/6/18,46503.961
12/7/18,44217.723
12/8/18,39060.082
12/9/18,37688.855
12/10/18,44079.547
12/11/18,46628.65
12/12/18,48750.777
12/13/18,49354.625
12/14/18,48874.707
12/15/18,44520.75
12/16/18,42531.27
12/17/18,50595.57
12/18/18,50587.168
12/19/18,49379.9
12/20/18,49603.59
12/21/18,47724.19
12/22/18,43426.28
12/23/18,41298.81
12/24/18,39619.38
12/25/18,36887.46
12/26/18,40607.58
12/27/18,40909.88
12/28/18,40899.508
12/29/18,40700.379
12/30/18,39198.008
12/31/18,40360.262
1/1/19,37764.906
1/2/19,43778.11
1/3/19,46389.461
1/4/19,45899.29
1/5/19,42148.438
1/6/19,41393.223
1/7/19,48181.453
1/8/19,49882.48
1/9/19,49840.38
1/10/19,50018
1/11/19,49791.383
1/12/19,44124.445
1/13/19,42832.93
1/14/19,50392.27
1/15/19,51292.328
1/16/19,52323.086
1/17/19,51307.703
1/18/19,51559.965
1/19/19,45449.715
1/20/19,43907.969
1/21/19,52166.34
1/22/19,52771.477
1/23/19,54043.18
1/24/19,52454.336
1/25/19,49321.453
1/26/19,43103.859
1/27/19,42146.426
1/28/19,50273.914
1/29/19,52057.168
1/30/19,53101.836
1/31/19,53059.91
2/1/19,53198.84
2/2/19,46828.1
2/3/19,44045.87
2/4/19,47884.31
2/5/19,46284.95
2/6/19,44691.29
2/7/19,45192.88
2/8/19,47276.83
2/9/19,43512.64
2/10/19,42870.61
2/11/19,50587.92
2/12/19,49801.74
2/13/19,45525.527
2/14/19,44872.121
2/15/19,44603.387
2/16/19,41216.68
2/17/19,40379.242
2/18/19,45907.09
2/19/19,47133.61
2/20/19,47475.922
2/21/19,46056.828
2/22/19,48312.473
2/23/19,45260.387
2/24/19,43045.363
2/25/19,50647.012
2/26/19,46628.938
2/27/19,47011.219
2/28/19,45294.227
3/1/19,44706.16
3/2/19,41775.906
3/3/19,38564.69
3/4/19,40767.305
3/5/19,42006.379
3/6/19,45680.516
3/7/19,47782.96
3/8/19,48919.32
3/9/19,45584.727
3/10/19,41806.09
3/11/19,45844.27
3/12/19,47372.89
3/13/19,48734.66
3/14/19,48631.91
3/15/19,48287.94
3/16/19,43834.129
3/17/19,40936.05
3/18/19,48506.71
3/19/19,49703.19
3/20/19,47198.56
3/21/19,42881.64
3/22/19,42657.469
3/23/19,42586.645
3/24/19,40266.355
3/25/19,46258.81
3/26/19,47236.59
3/27/19,46573.37
3/28/19,44872.43
3/29/19,43478.609
3/30/19,42302.457
3/31/19,39970.848
4/1/19,44683.051
4/2/19,45399
4/3/19,46121.23
4/4/19,47694.38
4/5/19,48662.023
4/6/19,44056.711
4/7/19,41673.801
4/8/19,44569.66
4/9/19,43859.03
4/10/19,43435.813
4/11/19,44092.57
4/12/19,44705.688
4/13/19,43359.68
4/14/19,40164.602
4/15/19,44408.617
4/16/19,44909.566
4/17/19,44190.105
4/18/19,43369.191
4/19/19,38998.41
4/20/19,41130.449
4/21/19,39814.5
4/22/19,44189.883
4/23/19,43704.039
4/24/19,45103.391
4/25/19,45530.637
4/26/19,45818.824
4/27/19,43873.281
4/28/19,40154.867
4/29/19,43740.273
4/30/19,43302.512
5/1/19,40274.258
5/2/19,43738.023
5/3/19,44415.164
5/4/19,42280.531
5/5/19,40405.156
5/6/19,44807.582
5/7/19,44161.527
5/8/19,42103.66
5/9/19,42474.69
5/10/19,43295.082
5/11/19,42745.055
