Date,Stored_energy
9/27/2017,37381.146
9/28/2017,36844.2285
9/29/2017,36390.588
9/30/2017,35958.8625
10/1/2017,35714.8755
10/2/2017,35133.3975
10/3/2017,34706.055
10/4/2017,34420.4295
10/5/2017,34061.754
10/6/2017,33564.2835
10/7/2017,33257.4735
10/8/2017,33173.466
10/9/2017,32670.1515
10/10/2017,32234.043
10/11/2017,31869.5235
10/12/2017,31672.2885
10/13/2017,31309.9605
10/14/2017,30957.129
10/15/2017,30759.894
10/16/2017,30310.6365
10/17/2017,29897.904
10/18/2017,29491.746
10/19/2017,29088.51
10/20/2017,28648.749
10/21/2017,28395.996
10/22/2017,28277.655
10/23/2017,27841.5465
10/24/2017,27506.9775
10/25/2017,27175.3305
10/26/2017,26912.3505
10/27/2017,26577.051
10/28/2017,26370.3195
10/29/2017,26379.816
10/30/2017,26213.262
10/31/2017,26154.822
11/1/2017,26141.673
11/2/2017,26393.6955
11/3/2017,26450.6745
11/4/2017,26427.2985
11/5/2017,26610.654
11/6/2017,26515.689
11/7/2017,26639.874
11/8/2017,26694.6615
11/9/2017,26642.796
11/10/2017,26607.732
11/11/2017,26754.5625
11/12/2017,26913.8115
11/13/2017,26839.3005
11/14/2017,26807.889
11/15/2017,26894.088
11/16/2017,26707.8105
11/17/2017,26563.902
11/18/2017,26656.6755
11/19/2017,26675.6685
11/20/2017,26645.718
11/21/2017,26605.5405
11/22/2017,26701.9665
11/23/2017,26878.7475
11/24/2017,27101.55
11/25/2017,27207.4725
11/26/2017,27414.9345
11/27/2017,27425.892
11/28/2017,27523.0485
11/29/2017,27678.645
11/30/2017,27830.589
12/1/2017,27943.8165
12/2/2017,28325.1375
12/3/2017,28832.1045
12/4/2017,28892.736
12/5/2017,29049.7935
12/6/2017,29238.993
12/7/2017,29290.8585
12/8/2017,29381.4405
12/9/2017,29580.867
12/10/2017,29926.3935
12/11/2017,29868.684
12/12/2017,30022.089
12/13/2017,30068.841
12/14/2017,30022.089
12/15/2017,29983.3725
12/16/2017,30250.005
12/17/2017,30606.489
12/18/2017,30667.1205
12/19/2017,30731.4045
12/20/2017,30759.894
12/21/2017,30768.66
12/22/2017,30908.916
12/23/2017,31081.314
12/24/2017,31366.9395
12/25/2017,31602.1605
12/26/2017,31778.9415
12/27/2017,32041.9215
12/28/2017,32334.852
12/29/2017,32685.492
12/30/2017,33069.0045
12/31/2017,33556.248
1/1/2018,33894.92606
1/2/2018,34441.82516
1/3/2018,34889.15368
1/4/2018,35460.9069
1/5/2018,36088.73741
1/6/2018,36825.01293
1/7/2018,37655.15484
1/8/2018,38511.20953
1/9/2018,39461.76694
1/10/2018,40390.93441
1/11/2018,41126.03142
1/12/2018,41717.72215
1/13/2018,42239.32769
1/14/2018,42842.82912
1/15/2018,43208.79536
1/16/2018,43543.34153
1/17/2018,43833.43563
1/18/2018,44046.45913
1/19/2018,44157.16698
1/20/2018,44444.20782
1/21/2018,44679.51728
1/22/2018,44628.41938
1/23/2018,44692.34098
1/24/2018,44689.80421
1/25/2018,44763.29936
1/26/2018,44916.90981
1/27/2018,45299.76029
1/28/2018,45578.96538
1/29/2018,45610.64797
1/30/2018,45811.58683
1/31/2018,46097.92
2/1/2018,46448.02069
2/2/2018,46798.55796
2/3/2018,47254.43562
2/4/2018,47816.48403
2/5/2018,48341.25411
2/6/2018,48752.73107
2/7/2018,49103.93606
2/8/2018,49404.6852
2/9/2018,49589.0223
2/10/2018,49989.88989
2/11/2018,50352.08663
2/12/2018,50664.42674
2/13/2018,50984.20882
2/14/2018,51208.46091
2/15/2018,51462.61784
2/16/2018,51599.42679
2/17/2018,51812.31047
2/18/2018,51987.6533
2/19/2018,52009.51123
2/20/2018,52120.13632
2/21/2018,52287.85455
2/22/2018,52534.82633
2/23/2018,52796.06569
2/24/2018,53234.75377
2/25/2018,53693.36509
2/26/2018,53894.80617
2/27/2018,54224.09617
2/28/2018,54544.99112
3/1/2018,54813.25583
3/2/2018,55051.15914
3/3/2018,55488.63162
3/4/2018,55942.29495
3/5/2018,55998.61764
3/6/2018,56125.78171
3/7/2018,56341.00527
3/8/2018,56633.58193
3/9/2018,56928.20171
3/10/2018,57437.4287
3/11/2018,57912.76163
3/12/2018,58158.06695
3/13/2018,58362.45286
3/14/2018,58512.70758
3/15/2018,58694.41375
3/16/2018,58813.54232
3/17/2018,59259.15873
3/18/2018,59629.75622
3/19/2018,59670.727
3/20/2018,59812.06733
3/21/2018,60016.12223
3/22/2018,60208.92287
3/23/2018,60411.00314
3/24/2018,60795.10346
3/25/2018,61179.09536
3/26/2018,61369.99555
3/27/2018,61669.51767
3/28/2018,61958.54456
3/29/2018,62236.71668
3/30/2018,62556.64714
3/31/2018,62729.60443
4/1/2018,62943.95482
4/2/2018,63016.06887
4/3/2018,63160.06297
4/4/2018,63278.79205
4/5/2018,63435.45577
4/6/2018,63617.72122
4/7/2018,63918.185
4/8/2018,64232.09455
4/9/2018,64412.06007
4/10/2018,64560.42006
4/11/2018,64668.72239
4/12/2018,64750.35006
4/13/2018,64810.57636
4/14/2018,65007.55454
4/15/2018,65203.4598
4/16/2018,65339.71518
4/17/2018,65534.0453
4/18/2018,65695.69125
4/19/2018,65798.3265
4/20/2018,65806.70442
4/21/2018,65917.94588
4/22/2018,65972.95024
4/23/2018,65949.44869
4/24/2018,65832.43743
4/25/2018,65635.73889
4/26/2018,65485.29013
4/27/2018,65279.50029
4/28/2018,65255.93596
4/29/2018,65315.18636
4/30/2018,65130.38127
5/1/2018,65137.93738
5/2/2018,65001.43661
5/3/2018,64896.11905
5/4/2018,64746.93155
5/5/2018,64700.64752
5/6/2018,64692.22965
5/7/2018,64508.81138
5/8/2018,64409.8914
5/9/2018,64203.09142
5/10/2018,64103.0015
5/11/2018,63971.08348
5/12/2018,63865.56618
5/13/2018,63877.44821
5/14/2018,63722.91322
5/15/2018,63578.21145
5/16/2018,63487.70934
5/17/2018,63400.14066
5/18/2018,63309.94103
5/19/2018,63247.50611
5/20/2018,63314.66074
5/21/2018,63347.92703
5/22/2018,63372.91241
5/23/2018,63361.26436
5/24/2018,63350.93463
5/25/2018,63279.75654
5/26/2018,63265.76861
5/27/2018,63255.2962
5/28/2018,63219.65009
5/29/2018,63208.27027
5/30/2018,63122.14546
5/31/2018,63017.91224
6/1/2018,62851.88899
6/2/2018,62766.93413
6/3/2018,62688.36543
6/4/2018,62528.41446
6/5/2018,62446.09624
6/6/2018,62334.10717
6/7/2018,62256.07493
6/8/2018,62155.68825
6/9/2018,62082.25017
6/10/2018,62044.43538
6/11/2018,61926.61372
6/12/2018,61787.11676
6/13/2018,61624.56339
6/14/2018,61459.97831
6/15/2018,61337.44264
6/16/2018,61269.15802
6/17/2018,61144.82463
6/18/2018,61053.4893
6/19/2018,60943.0183
6/20/2018,60802.1117
6/21/2018,60654.28247
6/22/2018,60478.08929
6/23/2018,60315.33618
6/24/2018,60192.13849
6/25/2018,59977.42856
6/26/2018,59730.62229
6/27/2018,59554.52043
6/28/2018,59273.6603
6/29/2018,59063.92119
6/30/2018,58798.40156
7/1/2018,58724.6553
7/2/2018,58419.81423
7/3/2018,58190.80819
7/4/2018,57941.54218
7/5/2018,57651.40813
7/6/2018,57374.16055
7/7/2018,57151.78608
7/8/2018,57079.66062
7/9/2018,56831.58738
7/10/2018,56537.60108
7/11/2018,56229.00478
7/12/2018,55962.80602
7/13/2018,55755.90901
7/14/2018,55534.32782
7/15/2018,55405.29184
7/16/2018,55037.13125
7/17/2018,54738.03716
7/18/2018,54427.42057
7/19/2018,54127.17366
7/20/2018,53827.92547
7/21/2018,53609.39754
7/22/2018,53516.62975
7/23/2018,53227.6371
7/24/2018,52855.4873
7/25/2018,52564.49148
7/26/2018,52178.63339
7/27/2018,51845.90776
7/28/2018,51646.69813
7/29/2018,51437.40988
7/30/2018,51039.09905
7/31/2018,50711.48121
8/1/2018,50441.39596
8/2/2018,50178.941
8/3/2018,49934.93688
8/4/2018,49720.62074
8/5/2018,49631.80221
8/6/2018,49419.09545
8/7/2018,49204.7793
8/8/2018,48939.65346
8/9/2018,48712.67912
8/10/2018,48437.58309
8/11/2018,48208.56564
8/12/2018,47987.54373
8/13/2018,47640.23664
8/14/2018,47275.54878
8/15/2018,46971.84055
8/16/2018,46659.27786
8/17/2018,46324.20094
8/18/2018,46038.51551
8/19/2018,45900.12571
8/20/2018,45483.39829
8/21/2018,44999.34502
8/22/2018,44554.12239
8/23/2018,44138.60771
8/24/2018,43710.46052
8/25/2018,43386.304
8/26/2018,43237.40185
8/27/2018,42868.07988
8/28/2018,42485.98273
8/29/2018,42144.70226
8/30/2018,41784.54578
8/31/2018,41433.12677
9/1/2018,41181.67212
9/2/2018,41075.80384
9/3/2018,40710.65086
9/4/2018,40367.09329
9/5/2018,40017.38924
9/6/2018,39731.09316
9/7/2018,39552.54013
9/8/2018,39345.22937
9/9/2018,39154.48326
9/10/2018,38768.58807
9/11/2018,38475.48351
9/12/2018,38204.08849
9/13/2018,37939.55618
9/14/2018,37676.30224
9/15/2018,37476.01683
9/16/2018,37343.96469
9/17/2018,37090.6467
9/18/2018,36793.00789
9/19/2018,36543.06846
9/20/2018,36377.04807
9/21/2018,36161.31087
9/22/2018,36080.83603
9/23/2018,36073.08588
9/24/2018,35695.85682
9/25/2018,35416.06105
9/26/2018,35057.4626
9/27/2018,34693.29693
9/28/2018,34353.81703
9/29/2018,34108.48888
9/30/2018,33954.19073
10/1/2018,33580.51715
10/2/2018,33308.27749
10/3/2018,32933.67081
10/4/2018,32628.93532
10/5/2018,32364.27745
10/6/2018,32190.84363
10/7/2018,32085.42335
10/8/2018,31883.61987
10/9/2018,31674.69972
10/10/2018,31510.73671
10/11/2018,31422.86841
10/12/2018,31532.04677
10/13/2018,31533.28234
10/14/2018,31502.18758
10/15/2018,31274.75668
10/16/2018,31107.0841
10/17/2018,30938.88933
10/18/2018,30761.40066
10/19/2018,30654.97023
10/20/2018,30754.3325
10/21/2018,30938.60968
10/22/2018,30770.83153
10/23/2018,30624.57173
10/24/2018,30452.7216
10/25/2018,30338.92911
10/26/2018,30271.74879
10/27/2018,30230.29862
10/28/2018,30230.16451
10/29/2018,30130.88784
10/30/2018,30078.61429
10/31/2018,29944.74446
11/1/2018,29794.95772
11/2/2018,29809.85021
11/3/2018,29715.46733
11/4/2018,29731.51265
11/5/2018,29502.16419
11/6/2018,29464.46354
11/7/2018,29394.72647
11/8/2018,29423.02478
11/9/2018,29503.02595
11/10/2018,29804.94788
11/11/2018,30163.26383
11/12/2018,30158.69821
11/13/2018,30228.54086
11/14/2018,30277.44441
11/15/2018,30409.15983
11/16/2018,30412.98069
11/17/2018,30613.28607
11/18/2018,30858.63705
11/19/2018,30877.56728
11/20/2018,31072.96176
11/21/2018,31356.44998
11/22/2018,31741.98562
11/23/2018,32120.27048
11/24/2018,32610.11353
11/25/2018,33261.26012
11/26/2018,33863.9483
11/27/2018,34578.57419
11/28/2018,35052.26349
11/29/2018,35375.29002
11/30/2018,35573.35539
12/1/2018,35866.36864
12/2/2018,36373.08739
12/3/2018,36880.33689
12/4/2018,37322.2209
12/5/2018,37677.9687
12/6/2018,38007.98634
12/7/2018,38404.81049
12/8/2018,38765.62613
12/9/2018,39138.91733
12/10/2018,39287.0205
12/11/2018,39271.96821
12/12/2018,39166.14843
12/13/2018,39126.78133
12/14/2018,38984.37663
12/15/2018,39077.7294
12/16/2018,39148.59931
12/17/2018,38898.41733
12/18/2018,38799.2491
12/19/2018,38775.61628
12/20/2018,38721.96448
12/21/2018,38705.39697
12/22/2018,38802.21676
12/23/2018,38926.56155
12/24/2018,39019.34647
12/25/2018,39211.63062
12/26/2018,39345.73729
12/27/2018,39528.58487
12/28/2018,39626.33204
12/29/2018,40002.02306
12/30/2018,40354.23534
12/31/2018,40660.98257
1/1/2019,40975.69966
1/2/2019,41265.85654
1/3/2019,41385.17344
1/4/2019,41508.8762
1/5/2019,41769.08829
