Data Escala de Tempo 1 GE Simp 4,cod_aneel (tb_referenciacegusina (Usina)),cod_nucleoaneel (tb_referenciacegusina (Usina)),Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina2,Período Exibido GE,Selecione Tipo de GE Simp 4
3/19/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,19/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,3.0513
3/20/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,20/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,3.023
3/21/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,21/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9745
3/22/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,22/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9351
3/23/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,23/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5699
3/24/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,24/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5818
3/25/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,25/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4717
3/26/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,26/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9498
3/27/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,27/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7207
3/28/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,28/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7278
3/29/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,29/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7321
3/30/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,30/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7402
3/31/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,31/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.739
4/1/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,1/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5991
4/2/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,2/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.8767
4/3/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,3/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5083
4/4/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,4/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.1032
4/5/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,5/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.2186
4/6/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,6/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.0155
4/7/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,7/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.6686
4/8/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,8/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.6477
4/9/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,9/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2724
4/10/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,10/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2631
4/11/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,11/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.1808
4/12/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,12/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2999
4/13/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,13/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2168
4/14/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,14/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2379
4/15/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,15/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2386
4/16/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,16/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2107
