date,date,year,month,furnas,marimbondo,paraibuna,solteira,itaipu,sao_simao,emborcacao,s_do_facao,batalha,itumbiara,nova_ponte,chavantes,tres_marias,tres_irmaos,b_bonita,serra_da_mesa
2007-04-01,2007-04-01,2007,4,62.68,53.36,133.69,34.65,90.12,41.26,67.67,67.67,67.67,80.61,80.61,68.84,60.64,54.61,54.61,81.51
2007-05-01,2007-05-01,2007,5,40.32,52.07,73.08,86.45,66.98,19.39,7.56,7.56,7.56,9.73,9.73,64.89,18.03,64.85,64.85,7.04
2007-06-01,2007-06-01,2007,6,7.9,3.3,45.69,1.78,3.26,33.08,9.03,9.03,9.03,6.89,6.89,11.61,1.98,13.83,13.83,3.46
2007-07-01,2007-07-01,2007,7,42.73,72.11,132.65,45.56,78.97,19.97,14.06,14.06,14.06,21.01,21.01,126.0,12.32,106.51,106.51,1.35
2007-08-01,2007-08-01,2007,8,0.26,0.63,16.93,0.48,8.11,2.45,0.31,0.31,0.31,17.16,17.16,9.49,0.77,0.64,0.64,5.31
2007-09-01,2007-09-01,2007,9,10.99,8.89,53.68,8.93,13.32,12.75,3.47,3.47,3.47,6.58,6.58,24.22,1.11,13.97,13.97,4.35
2007-10-01,2007-10-01,2007,10,86.52,62.39,149.21,50.56,63.68,73.83,54.23,54.23,54.23,66.44,66.44,65.37,43.57,60.28,60.28,63.64
2007-11-01,2007-11-01,2007,11,158.72,147.63,176.13,102.82,146.89,87.58,113.77,113.77,113.77,159.4,159.4,147.35,120.82,137.74,137.74,150.07
2007-12-01,2007-12-01,2007,12,188.09,168.42,137.15,165.15,121.29,166.43,173.62,173.62,173.62,258.69,258.69,181.57,198.88,151.22,151.22,176.94
2008-01-01,2008-01-01,2008,1,223.85,286.72,194.98,335.43,149.42,255.74,201.34,201.34,201.34,233.71,233.71,181.04,308.09,230.76,230.76,192.49
2008-02-01,2008-02-01,2008,2,209.86,210.21,219.47,179.08,130.55,243.7,202.87,202.87,202.87,257.86,257.86,110.05,193.53,134.28,134.28,212.04
2008-03-01,2008-03-01,2008,3,218.92,183.69,170.22,164.27,87.16,200.61,196.59,196.59,196.59,267.44,267.44,67.15,220.64,132.4,132.4,211.27
2008-04-01,2008-04-01,2008,4,135.03,133.42,132.04,113.16,80.46,127.82,101.56,101.56,101.56,139.6,139.6,88.22,105.72,86.52,86.52,118.27
2008-05-01,2008-05-01,2008,5,18.7,32.59,22.29,47.16,47.67,32.62,13.93,13.93,13.93,22.88,22.88,52.01,4.87,41.05,41.05,3.79
2008-06-01,2008-06-01,2008,6,19.74,11.89,41.36,2.35,36.81,0.82,5.81,5.81,5.81,7.56,7.56,53.86,11.11,27.25,27.25,0.09
2008-07-01,2008-07-01,2008,7,1.07,1.8,1.81,0.11,16.05,0.44,0.11,0.11,0.11,0.56,0.56,23.36,1.25,0.42,0.42,0.63
2008-08-01,2008-08-01,2008,8,27.08,19.36,75.74,22.31,88.02,4.55,2.87,2.87,2.87,6.91,6.91,134.31,6.65,44.21,44.21,0.38
2008-09-01,2008-09-01,2008,9,66.62,27.38,56.77,11.48,36.79,19.22,32.46,32.46,32.46,47.55,47.55,53.23,64.36,27.69,27.69,29.87
2008-10-01,2008-10-01,2008,10,95.41,68.9,117.54,101.63,115.41,84.37,32.55,32.55,32.55,77.23,77.23,113.37,32.24,88.8,88.8,41.32
2008-11-01,2008-11-01,2008,11,177.89,95.1,195.34,102.67,114.58,130.6,128.65,128.65,128.65,103.58,103.58,90.79,170.34,75.9,75.9,214.51
2008-12-01,2008-12-01,2008,12,242.44,241.36,192.01,153.53,77.89,187.77,243.04,243.04,243.04,274.96,274.96,77.1,362.43,128.4,128.4,202.33
2009-01-01,2009-01-01,2009,1,279.4,308.57,251.06,292.07,259.24,229.76,219.79,219.79,219.79,306.04,306.04,332.7,304.25,280.9,280.9,231.19
2009-02-01,2009-02-01,2009,2,245.81,216.1,261.52,240.61,157.79,194.96,174.16,174.16,174.16,209.56,209.56,165.44,197.09,207.88,207.88,202.29
2009-03-01,2009-03-01,2009,3,141.75,178.71,140.76,203.75,118.28,152.51,145.96,145.96,145.96,185.0,185.0,45.83,160.31,168.01,168.01,197.65
2009-04-01,2009-04-01,2009,4,104.19,71.09,93.47,30.15,21.81,73.23,109.15,109.15,109.15,98.31,98.31,20.18,79.99,61.39,61.39,217.28
2009-05-01,2009-05-01,2009,5,46.59,48.94,47.57,44.75,123.34,28.41,48.6,48.6,48.6,59.53,59.53,94.82,20.63,43.72,43.72,44.43
2009-06-01,2009-06-01,2009,6,32.75,51.35,53.29,27.89,71.94,24.21,35.41,35.41,35.41,41.12,41.12,88.58,24.83,58.06,58.06,30.98
2009-07-01,2009-07-01,2009,7,28.32,32.87,105.66,29.02,119.32,10.32,10.06,10.06,10.06,12.02,12.02,288.65,3.77,95.02,95.02,20.3
2009-08-01,2009-08-01,2009,8,41.27,61.06,50.08,52.79,115.3,28.4,36.51,36.51,36.51,42.67,42.67,54.34,41.74,92.45,92.45,48.84
2009-09-01,2009-09-01,2009,9,113.57,122.08,78.4,176.13,135.2,130.14,79.38,79.38,79.38,107.05,107.05,210.61,70.19,149.85,149.85,78.79
2009-10-01,2009-10-01,2009,10,165.52,121.78,151.68,105.32,205.26,126.68,140.25,140.25,140.25,143.5,143.5,222.58,183.82,114.01,114.01,255.01
2009-11-01,2009-11-01,2009,11,127.73,148.34,148.09,159.99,171.69,199.4,150.85,150.85,150.85,149.41,149.41,210.69,101.45,170.98,170.98,177.46
2009-12-01,2009-12-01,2009,12,310.72,269.55,284.25,286.9,211.99,297.45,242.14,242.14,242.14,305.04,305.04,165.35,303.76,256.87,256.87,284.47
2010-01-01,2010-01-01,2010,1,193.47,239.39,294.75,249.85,235.66,186.24,178.06,178.06,178.06,205.4,205.4,327.59,140.81,236.14,236.14,202.02
2010-02-01,2010-02-01,2010,2,103.41,105.19,150.14,152.03,164.93,113.95,76.19,76.19,76.19,107.58,107.58,104.05,63.64,99.74,99.74,96.68
2010-03-01,2010-03-01,2010,3,171.97,131.2,206.93,147.25,117.6,168.08,151.9,151.9,151.9,177.05,177.05,174.31,199.31,123.96,123.96,185.07
2010-04-01,2010-04-01,2010,4,45.98,38.94,121.94,43.45,69.98,68.52,53.48,53.48,53.48,63.84,63.84,93.29,46.72,69.66,69.66,100.17
