,year_month,accumulate_riogrande,accumulate_pardo,accumulate_vermelha,accumulate_caconde,accumulate_furnas,accumulate_marimbondo,accumulate_mascarenha,accumulate_camargos,Grande_total
194,201608,24.58,57.44,28.55,27.15,31.39,32.44,27.66,15.58,244.79000000000002
195,201609,27.86,16.32,18.29,9.93,25.43,14.74,14.2,38.52,165.29000000000002
196,201610,83.0,95.48,95.64,164.26,128.5,115.66,130.52,101.7,914.76
197,201611,87.82,124.94,155.55,141.91,186.82,179.46,188.75,265.21,1330.46
198,201612,271.01,131.75,222.52,117.14,147.55,181.86,192.17,175.16,1439.16
199,201701,367.09,227.48,238.65,143.41,166.86,237.08,252.03,198.24,1830.8399999999997
200,201702,116.87,87.97,110.25,83.34,91.26,113.99,138.49,81.36,823.5300000000001
201,201703,167.0,140.42,151.93,165.3,119.3,122.19,127.85,113.1,1107.09
202,201704,93.85,78.21,129.88,68.51,57.03,88.09,45.71,52.42,613.7
203,201705,109.01,88.28,105.99,88.65,73.05,100.52,83.11,33.24,681.8500000000001
204,201706,4.14,16.73,2.16,23.83,27.1,9.84,19.9,18.59,122.29000000000002
205,201707,0.0,1.77,0.06,1.77,1.26,0.25,0.89,3.13,9.129999999999999
206,201708,23.25,17.39,16.47,29.7,15.74,14.52,4.46,11.25,132.77999999999997
207,201709,0.5,1.29,1.23,1.66,5.82,0.97,3.33,1.66,16.46
208,201710,121.57,95.59,88.0,134.24,95.76,103.37,95.85,64.1,798.48
209,201711,225.94,187.47,244.3,154.8,143.14,193.5,156.86,116.72,1422.7300000000002
210,201712,283.5,172.26,238.62,152.67,200.81,178.29,251.05,162.58,1639.7799999999997
211,201801,220.03,240.3,264.66,197.97,196.45,235.34,183.08,163.87,1701.6999999999998
212,201802,157.49,153.05,132.02,142.0,116.62,133.03,209.76,125.8,1169.77
213,201803,95.98,118.95,95.09,134.32,117.75,100.0,142.29,113.36,917.7399999999999
214,201804,56.03,40.07,49.67,35.76,29.52,34.66,38.97,40.17,324.84999999999997
215,201805,11.15,19.45,18.01,18.44,29.19,20.63,25.86,16.2,158.92999999999998
216,201806,0.88,12.07,1.1,8.41,21.76,5.56,30.16,20.82,100.75999999999999
217,201807,0.0,1.33,0.09,3.53,4.39,0.66,1.92,3.72,15.64
