Date,Max_Demand
6/21/01,26132.7
6/22/01,25807.2
6/23/01,25701
6/24/01,23209.7
6/25/01,25966.9
6/26/01,25527.2
6/27/01,25986.8
6/28/01,25593.7
6/29/01,25639.5
6/30/01,25528.2
7/1/01,23468.2
7/2/01,25811.7
7/3/01,25920.1
7/4/01,26360
7/5/01,26675.9
7/6/01,26270.8
7/7/01,25808.9
7/8/01,23362
7/9/01,23934.1
7/10/01,26002.7
7/11/01,26432.6
7/12/01,25376.4
7/13/01,25082.7
7/14/01,25374.9
7/15/01,23357.1
7/16/01,25551.9
7/17/01,26208.1
7/18/01,26337
7/19/01,26500.8
7/20/01,26232.3
7/21/01,25858.5
7/22/01,22526.6
7/23/01,24652.1
7/24/01,25597
7/25/01,26151
7/26/01,25899
7/27/01,25231
7/28/01,24031
7/29/01,22780.5
7/30/01,25181.2
7/31/01,25687.6
8/1/01,25788.7
8/2/01,25851
8/3/01,25596.7
8/4/01,25858.1
8/5/01,23509.8
8/6/01,25353.5
8/7/01,25930.8
8/8/01,25775.8
8/9/01,26039.1
8/10/01,25923.7
8/11/01,25708.6
8/12/01,23500
8/13/01,25564
8/14/01,25896.7
8/15/01,25700.2
8/16/01,25815.6
8/17/01,25950.7
8/18/01,25988
8/19/01,23869.1
8/20/01,25407.1
8/21/01,25841.7
8/22/01,25750.9
8/23/01,25932
8/24/01,25444.5
8/25/01,26146.2
8/26/01,23547.5
8/27/01,26031.9
8/28/01,26438.5
8/29/01,26148.3
8/30/01,26200.5
8/31/01,26068.8
9/1/01,25953.8
9/2/01,24049
9/3/01,26235.7
9/4/01,26377.3
9/5/01,26582.4
9/6/01,25764.6
9/7/01,24349.9
9/8/01,25446.6
9/9/01,24047.7
9/10/01,26098.7
9/11/01,25964.9
9/12/01,26118.3
9/13/01,26764.9
9/14/01,26055.7
9/15/01,25662.7
9/16/01,23155.9
9/17/01,25108.6
9/18/01,25504.3
9/19/01,26607.8
9/20/01,26131
9/21/01,26499.3
9/22/01,25721.3
9/23/01,24048.7
9/24/01,26417.3
9/25/01,26422.6
9/26/01,26406
9/27/01,26015.2
9/28/01,25712.5
9/29/01,25895.9
9/30/01,23589.9
10/1/01,25846.1
10/2/01,25880
10/3/01,26346.9
