Date,energy_charge
2-Feb-01,692.01981
3-Feb-01,632.38905
4-Feb-01,565.18152
5-Feb-01,685.44351
6-Feb-01,693.68607
7-Feb-01,692.91099
8-Feb-01,695.83828
9-Feb-01,697.53583
10-Feb-01,630.05249
11-Feb-01,563.26907
12-Feb-01,690.13866
13-Feb-01,701.25536
14-Feb-01,699.95362
15-Feb-01,702.0888
16-Feb-01,708.52998
17-Feb-01,640.26854
18-Feb-01,571.673
19-Feb-01,692.51687
20-Feb-01,711.19629
21-Feb-01,708.87243
22-Feb-01,710.53297
23-Feb-01,706.64468
24-Feb-01,632.1862
25-Feb-01,562.42351
26-Feb-01,597.54862
27-Feb-01,587.65258
28-Feb-01,647.30653
1-Mar-01,682.76255
2-Mar-01,683.98274
3-Mar-01,625.70055
4-Mar-01,558.41112
5-Mar-01,676.82256
6-Mar-01,684.52311
7-Mar-01,701.2542
8-Mar-01,704.50099
9-Mar-01,689.95715
10-Mar-01,624.6779
11-Mar-01,553.68161
12-Mar-01,662.44128
13-Mar-01,687.2898
14-Mar-01,697.20137
15-Mar-01,702.45986
16-Mar-01,703.50656
17-Mar-01,639.66599
18-Mar-01,574.34021
19-Mar-01,684.73768
20-Mar-01,700.40245
21-Mar-01,698.37789
22-Mar-01,707.5975
23-Mar-01,714.11743
24-Mar-01,655.50291
25-Mar-01,582.45106
26-Mar-01,692.29001
27-Mar-01,708.51803
28-Mar-01,704.23821
29-Mar-01,688.81597
30-Mar-01,687.72975
31-Mar-01,623.59083
1-Apr-01,558.70449
2-Apr-01,670.46993
3-Apr-01,688.52646
4-Apr-01,688.4276
5-Apr-01,692.11553
6-Apr-01,704.88778
7-Apr-01,648.45608
8-Apr-01,573.79486
9-Apr-01,684.25562
10-Apr-01,705.54593
11-Apr-01,709.59821
12-Apr-01,688.4167
13-Apr-01,549.02643
14-Apr-01,573.35512
15-Apr-01,544.36569
16-Apr-01,657.71529
17-Apr-01,675.7524
18-Apr-01,674.20707
19-Apr-01,680.87532
20-Apr-01,688.15143
21-Apr-01,619.45952
22-Apr-01,569.6449
23-Apr-01,682.24333
24-Apr-01,704.82968
25-Apr-01,707.07603
26-Apr-01,702.47312
27-Apr-01,698.35508
28-Apr-01,639.66979
29-Apr-01,573.2814
30-Apr-01,640.37401
1-May-01,569.15525
2-May-01,684.54534
3-May-01,698.12224
4-May-01,687.5198
5-May-01,606.97754
6-May-01,525.73911
7-May-01,627.08783
8-May-01,643.88101
9-May-01,654.9257
10-May-01,662.52856
11-May-01,662.42572
12-May-01,607.92261
13-May-01,528.73391
14-May-01,621.4048
15-May-01,633.47173
16-May-01,638.38952
17-May-01,625.24065
18-May-01,606.34993
19-May-01,553.00823
20-May-01,490.26611
21-May-01,586.68498
22-May-01,599.95999
23-May-01,596.45037
24-May-01,588.53019
25-May-01,586.96611
26-May-01,545.34177
27-May-01,486.44586
28-May-01,572.89033
29-May-01,583.51395
30-May-01,585.40163
31-May-01,581.14256
1-Jun-01,556.46463
2-Jun-01,506.80119
3-Jun-01,446.05411
4-Jun-01,530.41453
5-Jun-01,538.20129
6-Jun-01,535.50173
7-Jun-01,535.91118
8-Jun-01,535.81994
9-Jun-01,489.57249
10-Jun-01,430.69734
11-Jun-01,509.43563
12-Jun-01,523.59248
13-Jun-01,520.07811
14-Jun-01,444.47854
15-Jun-01,474.31928
16-Jun-01,457.66846
17-Jun-01,419.7278
18-Jun-01,504.81461
19-Jun-01,513.61631
20-Jun-01,511.39006
21-Jun-01,501.17836
22-Jun-01,497.06552
23-Jun-01,460.63179
24-Jun-01,409.49567
25-Jun-01,488.92787
26-Jun-01,504.4127
27-Jun-01,493.87248
28-Jun-01,492.07646
29-Jun-01,487.4897
30-Jun-01,449.52283
1-Jul-01,403.28596
2-Jul-01,484.38979
3-Jul-01,500.214
4-Jul-01,508.18001
5-Jul-01,509.10967
6-Jul-01,507.40721
7-Jul-01,462.62341
8-Jul-01,405.05836
9-Jul-01,435.87964
10-Jul-01,498.01025
