Date,Energy
11/13/18,740.0960083
11/14/18,738.1040039
11/15/18,755.9580078
11/16/18,755.6259766
11/17/18,780.1710205
11/18/18,816.9099731
11/19/18,1007.424988
11/20/18,970.9780273
11/21/18,1121.770996
11/22/18,1202.134033
11/23/18,1294.43396
11/24/18,1426.965942
11/25/18,1644.647949
11/26/18,1706.692993
11/27/18,1746.506958
11/28/18,1737.80603
11/29/18,1739.660034
11/30/18,1784.61499
12/1/18,2096.916992
12/2/18,1761.303955
12/3/18,1815.239014
12/4/18,1813.468994
12/5/18,1766.338989
12/6/18,1684.233032
12/7/18,1585.713989
12/8/18,1408.920044
12/9/18,1189.916992
12/10/18,1010.450989
12/11/18,885.4810181
12/12/18,818.9550171
12/13/18,838.3220215
12/14/18,770.0200195
12/15/18,761.9039917
12/16/18,757.4279785
12/17/18,761.8140259
12/18/18,802.6119995
12/19/18,817.664978
12/20/18,836.2329712
12/21/18,869.6309815
12/22/18,885.1560059
12/23/18,952.8410034
12/24/18,1005.325012
12/25/18,989.7639771
12/26/18,994.8530273
12/27/18,961.2340088
12/28/18,952.0109863
12/29/18,907.0120239
12/30/18,872.9559937
12/31/18,845.8380127
1/1/19,844.5700073
1/2/19,866.9240112
1/3/19,899.5100098
1/4/19,1644.625
1/5/19,1620.217041
1/6/19,1574.510986
1/7/19,1611.828979
1/8/19,1677.54895
1/9/19,1710.599976
1/10/19,1679.119995
1/11/19,1737.69397
1/12/19,1607.754028
1/13/19,1494.718018
1/14/19,1322.319946
1/15/19,1213.593018
1/16/19,1180.564941
1/17/19,1131.927002
1/18/19,1130.353027
1/19/19,1077.154053
1/20/19,1087.303955
1/21/19,986.5440064
1/22/19,1016.502014
1/23/19,975.1939697
1/24/19,1034.376953
1/25/19,1104.107056
1/26/19,1196.28894
1/27/19,1160.152954
1/28/19,1167.748047
1/29/19,1143.697021
1/30/19,1125.616943
1/31/19,1060.327026
2/1/19,1003.578003
2/2/19,914.8270264
2/3/19,831.1979981
2/4/19,2818.519043
2/5/19,1133.348999
2/6/19,2149.550049
2/7/19,1392.05603
2/8/19,1399.142944
2/9/19,1394.463013
2/10/19,1453.084961
2/11/19,1445.537964
2/12/19,1755.093018
2/13/19,1758.482056
2/14/19,1445.738037
2/15/19,2353.414063
2/16/19,2286.748047
2/17/19,1971.863037
2/18/19,1969.630005
2/19/19,2036.275024
2/20/19,2618.006104
2/21/19,2784.13501
2/22/19,2281.812988
2/23/19,2090.538086
2/24/19,1965.989014
2/25/19,2162.5271
2/26/19,2804.169922
2/27/19,2113.49292
2/28/19,2701.50293
3/1/19,2504.278076
3/2/19,2646.852051
3/3/19,2746.531006
3/4/19,2750.991943
3/5/19,2770.623047
3/6/19,3214.412109
3/7/19,2791.748047
3/8/19,2494.803955
3/9/19,2247.883057
3/10/19,3763.511963
3/11/19,3486.731934
3/12/19,2584.220947
3/13/19,2597.759033
3/14/19,2537.099121
3/15/19,2369.974121
3/16/19,3457.7229
3/17/19,2965.705078
3/18/19,2435.977051
3/19/19,2650.437988
3/20/19,2439.096924
3/21/19,2561.778076
3/22/19,2151.215088
3/23/19,2026.234985
3/24/19,1878.652954
3/25/19,1715.348022
3/26/19,1588.661011
3/27/19,1488.979004
3/28/19,1390.415039
3/29/19,1283.472046
3/30/19,1206.147949
3/31/19,1124.633057
4/1/19,1077.314941
4/2/19,1029.849976
4/3/19,1000.603027
4/4/19,983.0679932
4/5/19,997.4890137
4/6/19,1120.436035
4/7/19,1202.06897
4/8/19,1776.81897
4/9/19,2657.61499
4/10/19,2138.268066
4/11/19,2213.340088
4/12/19,2164.73999
4/13/19,2066.143066
4/14/19,1976.839966
4/15/19,1818.197998
4/16/19,1722.219971
4/17/19,1581.578003
4/18/19,1468.052979
4/19/19,1389.772949
4/20/19,1322.027954
4/21/19,1235.642944
4/22/19,1162.670044
4/23/19,1084.735962
4/24/19,1024.600952
4/25/19,986.710022
4/26/19,1012.495972
4/27/19,998.7869873
4/28/19,1171.89502
4/29/19,1157.387939
4/30/19,1130.422974
5/1/19,1122.833008
5/2/19,1105.343018
5/3/19,1086.657959
5/4/19,1046.922974
5/5/19,1044.973022
5/6/19,986.0839844
5/7/19,973.4470215
5/8/19,936.9949951
5/9/19,967.5770264
5/10/19,959.6970215
5/11/19,1095.265015
5/12/19,1227.238037
5/13/19,1016.049988
5/14/19,1064.561035
5/15/19,1143.133057
5/16/19,2058.956055
5/17/19,1290.171021
5/18/19,1469.895996
5/19/19,1353.208984
5/20/19,1240.68396
5/21/19,1129.093018
5/22/19,1106.189941
5/23/19,1049.305054
5/24/19,999.1879883
5/25/19,949.6640015
5/26/19,918.8530273
5/27/19,881.9039917
5/28/19,852.6420288
5/29/19,915.7810059
5/30/19,899.0720215
5/31/19,1282.984009
6/1/19,1593.079956
6/2/19,1383.194946
6/3/19,1270.411011
6/4/19,1263.802002
6/5/19,1212.573975
6/6/19,1198.593994
6/7/19,1179.577026
6/8/19,1130.030029
6/9/19,1063.838989
6/10/19,989.1599731
6/11/19,923.4320068
6/12/19,860.5120239
6/13/19,820.5960083
6/14/19,804.3510132
6/15/19,769.1040039
6/16/19,744.2310181
6/17/19,739.1619873
6/18/19,725.7780151
6/19/19,719.0040283
6/20/19,714.2849731
6/21/19,711.3950195
6/22/19,696.2810059
6/23/19,684.2520142
6/24/19,678.21698
6/25/19,673.3369751
6/26/19,660.3779907
6/27/19,663.1069946
6/28/19,660.4370117
6/29/19,663.3389893
6/30/19,661.1920166
7/1/19,663.8380127
7/2/19,678.0670166
7/3/19,687.2230225
7/4/19,1513.781982
7/5/19,1694.610962
7/6/19,1399.821045
7/7/19,1589.129028
7/8/19,1646.845947
7/9/19,1635.166016
7/10/19,1607.52002
7/11/19,1494.437012
7/12/19,1356.281006
7/13/19,1156.022949
7/14/19,980.7730103
7/15/19,895.1610107
7/16/19,855.5770264
7/17/19,806.6270142
7/18/19,788.348999
7/19/19,768.9379883
7/20/19,756.0809937
7/21/19,737.5499878
7/22/19,730.5739746
7/23/19,718.1829834
