"","date","energy_exchange"
"785",2018-02-23,41.38779
"786",2018-02-24,59.487471
"787",2018-02-25,92.528607
"788",2018-02-26,44.414192
"789",2018-02-27,59.420544
"790",2018-02-28,52.247382
"791",2018-03-01,64.086729
"792",2018-03-02,54.765752
"793",2018-03-03,58.929571
"794",2018-03-04,87.393192
"795",2018-03-05,55.618345
"796",2018-03-06,62.061132
"797",2018-03-07,62.682072
"798",2018-03-08,58.365833
"799",2018-03-09,74.830798
"800",2018-03-10,92.265347
"801",2018-03-11,117.609753
"802",2018-03-12,71.085299
"803",2018-03-13,78.133544
"804",2018-03-14,75.000451
"805",2018-03-15,59.303093
"806",2018-03-16,80.773094
"807",2018-03-17,45.612906
"808",2018-03-18,80.241503
"809",2018-03-19,49.827758
"810",2018-03-20,51.648454
"811",2018-03-21,52.825361
"812",2018-03-22,58.645185
"813",2018-03-23,69.983205
"814",2018-03-24,75.135368
"815",2018-03-25,75.257539
"816",2018-03-26,51.077457
"817",2018-03-27,20.232646
"818",2018-03-28,28.814754
"819",2018-03-29,36.535878
"820",2018-03-30,89.053719
"821",2018-03-31,67.989965
"822",2018-04-01,62.715571
"823",2018-04-02,27.691948
"824",2018-04-03,35.838994
"825",2018-04-04,50.085295
"826",2018-04-05,61.804322
"827",2018-04-06,54.05455
"828",2018-04-07,99.862286
"829",2018-04-08,63.669414
"830",2018-04-09,67.06521
"831",2018-04-10,68.561324
"832",2018-04-11,52.875806
"833",2018-04-12,64.078649
"834",2018-04-13,54.87363
"835",2018-04-14,93.151946
"836",2018-04-15,93.66684
"837",2018-04-16,75.904759
"838",2018-04-17,72.058469
"839",2018-04-18,82.916094
"840",2018-04-19,89.929922
"841",2018-04-20,89.823876
"842",2018-04-21,122.708991
"843",2018-04-22,106.862749
"844",2018-04-23,102.178002
"845",2018-04-24,86.634588
"846",2018-04-25,100.2319
"847",2018-04-26,89.577326
"848",2018-04-27,96.364414
"849",2018-04-28,115.248645
"850",2018-04-29,119.18533
"851",2018-04-30,86.737598
"852",2018-05-01,114.562876
"853",2018-05-02,82.479862
"854",2018-05-03,71.355766
"855",2018-05-04,77.581007
"856",2018-05-05,103.351417
"857",2018-05-06,105.761269
"858",2018-05-07,68.235146
"859",2018-05-08,64.455968
"860",2018-05-09,68.739541
"861",2018-05-10,94.758009
"862",2018-05-11,66.712651
"863",2018-05-12,104.220271
"864",2018-05-13,109.53092
"865",2018-05-14,60.721914
"866",2018-05-15,73.821315
"867",2018-05-16,65.205743
"868",2018-05-17,73.584742
"869",2018-05-18,70.885033
"870",2018-05-19,88.309633
"871",2018-05-20,72.111058
"872",2018-05-21,63.305971
"873",2018-05-22,72.361858
"874",2018-05-23,83.434169
"875",2018-05-24,71.756632
"876",2018-05-25,66.675881
"877",2018-05-26,82.688974
"878",2018-05-27,101.799528
"879",2018-05-28,67.365242
"880",2018-05-29,70.211857
"881",2018-05-30,76.68205
"882",2018-05-31,109.792109
"883",2018-06-01,99.755526
"884",2018-06-02,96.105983
"885",2018-06-03,102.317402
"886",2018-06-04,78.142044
"887",2018-06-05,101.001058
"888",2018-06-06,98.445643
"889",2018-06-07,83.337196
"890",2018-06-08,81.817265
"891",2018-06-09,116.47041
"892",2018-06-10,103.572906
"893",2018-06-11,70.701562
"894",2018-06-12,70.937302
"895",2018-06-13,71.910053
"896",2018-06-14,75.993286
"897",2018-06-15,82.945141
"898",2018-06-16,117.966036
"899",2018-06-17,101.204571
"900",2018-06-18,70.945671
"901",2018-06-19,91.671619
"902",2018-06-20,89.718699
