Date,Turbine flow (m^3/s)
4/1/2019,375
4/2/2019,389
4/3/2019,388
4/4/2019,386
4/5/2019,396
4/6/2019,468
4/7/2019,141
4/8/2019,323
4/9/2019,429
4/10/2019,514
4/11/2019,515
4/12/2019,516
4/13/2019,512
4/14/2019,313
4/15/2019,573
4/16/2019,641
4/17/2019,694
4/18/2019,658
4/19/2019,503
4/20/2019,510
4/21/2019,427
4/22/2019,563
4/23/2019,611
4/24/2019,582
4/25/2019,579
4/26/2019,574
4/27/2019,477
4/28/2019,317
4/29/2019,589
4/30/2019,506
5/1/2019,216
5/2/2019,204
5/3/2019,205
5/4/2019,240
5/5/2019,175
5/6/2019,303
5/7/2019,277
5/8/2019,251
5/9/2019,240
5/10/2019,298
5/11/2019,200
5/12/2019,100
5/13/2019,232
5/14/2019,274
5/15/2019,309
5/16/2019,249
5/17/2019,161
5/18/2019,157
5/19/2019,116
5/20/2019,203
5/21/2019,301
5/22/2019,340
5/23/2019,329
5/24/2019,132
5/25/2019,275
5/26/2019,161
5/27/2019,127
5/28/2019,135
5/29/2019,133
5/30/2019,125
5/31/2019,408
6/1/2019,112
6/2/2019,153
6/3/2019,172
6/4/2019,302
6/5/2019,300
6/6/2019,308
6/7/2019,304
6/8/2019,220
6/9/2019,120
6/10/2019,370
6/11/2019,412
6/12/2019,369
6/13/2019,199
6/14/2019,339
6/15/2019,285
6/16/2019,276
6/17/2019,309
6/18/2019,284
6/19/2019,226
6/20/2019,152
6/21/2019,120
6/22/2019,276
6/23/2019,152
6/24/2019,357
6/25/2019,315
6/26/2019,344
6/27/2019,345
6/28/2019,259
6/29/2019,243
6/30/2019,135
7/1/2019,314
7/2/2019,314
7/3/2019,334
7/4/2019,332
7/5/2019,322
7/6/2019,291
7/7/2019,125
7/8/2019,289
7/9/2019,450
7/10/2019,417
7/11/2019,323
7/12/2019,356
7/13/2019,251
7/14/2019,252
7/15/2019,379
7/16/2019,372
7/17/2019,365
7/18/2019,373
7/19/2019,379
7/20/2019,398
7/21/2019,296
7/22/2019,390
7/23/2019,378
7/24/2019,385
7/25/2019,339
7/26/2019,351
7/27/2019,328
7/28/2019,220
7/29/2019,344
7/30/2019,370
7/31/2019,375
8/1/2019,271
8/2/2019,272
8/3/2019,311
8/4/2019,272
8/5/2019,376
8/6/2019,337
8/7/2019,381
8/8/2019,333
8/9/2019,339
8/10/2019,236
8/11/2019,160
8/12/2019,305
8/13/2019,319
8/14/2019,295
8/15/2019,301
8/16/2019,297
8/17/2019,304
8/18/2019,233
8/19/2019,303
8/20/2019,303
8/21/2019,298
8/22/2019,304
8/23/2019,302
8/24/2019,298
8/25/2019,225
8/26/2019,305
8/27/2019,322
8/28/2019,398
8/29/2019,325
8/30/2019,308
8/31/2019,308
9/1/2019,170
9/2/2019,265
9/3/2019,291
9/4/2019,304
9/5/2019,351
9/6/2019,157
9/7/2019,108
9/8/2019,106
9/9/2019,269
9/10/2019,390
9/11/2019,444
9/12/2019,454
9/13/2019,446
9/14/2019,369
9/15/2019,85
9/16/2019,380
9/17/2019,399
9/18/2019,344
9/19/2019,377
9/20/2019,340
9/21/2019,330
9/22/2019,117
9/23/2019,315
9/24/2019,307
9/25/2019,296
9/26/2019,300
9/27/2019,356
9/28/2019,370
9/29/2019,155
9/30/2019,368
10/1/2019,365
10/2/2019,436
10/3/2019,301
10/4/2019,312
10/5/2019,200
10/6/2019,124
10/7/2019,297
10/8/2019,356
10/9/2019,288
10/10/2019,390
10/11/2019,276
10/12/2019,270
10/13/2019,108
10/14/2019,332
10/15/2019,205
10/16/2019,209
10/17/2019,315
10/18/2019,352
10/19/2019,184
10/20/2019,59
10/21/2019,221
10/22/2019,502
10/23/2019,87
10/24/2019,59
10/25/2019,62
10/26/2019,59
10/27/2019,59
10/28/2019,78
10/29/2019,81
10/30/2019,111
10/31/2019,88
11/1/2019,137
11/2/2019,96
11/3/2019,89
11/4/2019,154
11/5/2019,93
11/6/2019,90
11/7/2019,84
11/8/2019,99
11/9/2019,98
11/10/2019,68
11/11/2019,241
11/12/2019,98
11/13/2019,282
11/14/2019,277
11/15/2019,20
11/16/2019,0
11/17/2019,102
11/18/2019,254
11/19/2019,394
11/20/2019,399
11/21/2019,391
11/22/2019,396
11/23/2019,173
11/24/2019,56
11/25/2019,375
11/26/2019,270
11/27/2019,276
11/28/2019,285
11/29/2019,289
11/30/2019,286
12/1/2019,17
12/2/2019,323
12/3/2019,339
12/4/2019,363
12/5/2019,371
12/6/2019,484
12/7/2019,93
12/8/2019,27
12/9/2019,338
12/10/2019,437
12/11/2019,435
12/12/2019,430
12/13/2019,446
12/14/2019,415
12/15/2019,177
12/16/2019,406
12/17/2019,433
12/18/2019,429
12/19/2019,431
12/20/2019,494
12/21/2019,107
12/22/2019,278
12/23/2019,495
12/24/2019,403
12/25/2019,341
12/26/2019,509
12/27/2019,298
12/28/2019,350
12/29/2019,274
12/30/2019,320
12/31/2019,123
1/1/2020,370
1/2/2020,377
1/3/2020,309
1/4/2020,322
1/5/2020,205
1/6/2020,388
1/7/2020,405
1/8/2020,458
1/9/2020,447
1/10/2020,371
1/11/2020,432
1/12/2020,453
1/13/2020,533
1/14/2020,462
1/15/2020,502
1/16/2020,490
1/17/2020,535
1/18/2020,462
1/19/2020,323
1/20/2020,559
1/21/2020,405
1/22/2020,396
1/23/2020,362
1/24/2020,431
1/25/2020,387
1/26/2020,274
1/27/2020,524
1/28/2020,377
1/29/2020,363
1/30/2020,326
1/31/2020,384
2/1/2020,377
2/2/2020,123
2/3/2020,462
2/4/2020,511
2/5/2020,493
2/6/2020,585
2/7/2020,464
2/8/2020,477
2/9/2020,386
2/10/2020,549
2/11/2020,681
2/12/2020,681
2/13/2020,680
2/14/2020,674
2/15/2020,707
2/16/2020,648
2/17/2020,489
2/18/2020,407
2/19/2020,549
2/20/2020,559
2/21/2020,603
2/22/2020,584
2/23/2020,480
2/24/2020,583
2/25/2020,512
2/26/2020,636
2/27/2020,525
2/28/2020,640
2/29/2020,640
3/1/2020,639
3/2/2020,673
3/3/2020,656
3/4/2020,504
3/5/2020,503
3/6/2020,493
3/7/2020,224
3/8/2020,185
3/9/2020,393
3/10/2020,374
3/11/2020,395
3/12/2020,496
3/13/2020,463
3/14/2020,363
3/15/2020,224
3/16/2020,465
3/17/2020,595
3/18/2020,514
3/19/2020,479
3/20/2020,327
3/21/2020,185
3/22/2020,72
3/23/2020,146
3/24/2020,115
3/25/2020,229
3/26/2020,273
3/27/2020,286
3/28/2020,299
3/29/2020,159
3/30/2020,308
3/31/2020,287
4/1/2020,285
4/2/2020,300
4/3/2020,278
4/4/2020,232
4/5/2020,169
4/6/2020,248
4/7/2020,245
4/8/2020,263
4/9/2020,182
4/10/2020,98
4/11/2020,147
4/12/2020,127
4/13/2020,326
4/14/2020,218
4/15/2020,222
4/16/2020,216
4/17/2020,225
4/18/2020,224
4/19/2020,124
4/20/2020,246
4/21/2020,98
4/22/2020,258
4/23/2020,282
4/24/2020,279
4/25/2020,213
4/26/2020,127
4/27/2020,251
4/28/2020,265
4/29/2020,261
4/30/2020,210
5/1/2020,101
5/2/2020,217
5/3/2020,121
5/4/2020,244
5/5/2020,252
5/6/2020,262
5/7/2020,258
5/8/2020,262
5/9/2020,219
5/10/2020,134
5/11/2020,250
5/12/2020,246
5/13/2020,293
5/14/2020,244
5/15/2020,246
5/16/2020,228
5/17/2020,181
5/18/2020,241
5/19/2020,231
5/20/2020,230
5/21/2020,221
5/22/2020,222
5/23/2020,222
5/24/2020,146
5/25/2020,191
5/26/2020,180
5/27/2020,181
5/28/2020,177
5/29/2020,179
5/30/2020,180
5/31/2020,127
6/1/2020,175
6/2/2020,194
6/3/2020,195
6/4/2020,214
6/5/2020,187
6/6/2020,165
6/7/2020,142
6/8/2020,245
6/9/2020,248
6/10/2020,237
6/11/2020,141
6/12/2020,214
6/13/2020,227
6/14/2020,131
6/15/2020,196
6/16/2020,194
6/17/2020,177
6/18/2020,125
6/19/2020,176
6/20/2020,177
6/21/2020,227
6/22/2020,286
6/23/2020,195
6/24/2020,218
6/25/2020,407
6/26/2020,403
6/27/2020,237
6/28/2020,185
6/29/2020,205
6/30/2020,233
7/1/2020,266
7/2/2020,272
7/3/2020,270
7/4/2020,254
7/5/2020,150
7/6/2020,231
7/7/2020,231
7/8/2020,225
7/9/2020,227
7/10/2020,229
7/11/2020,224
7/12/2020,163
7/13/2020,228
7/14/2020,246
7/15/2020,245
7/16/2020,247
7/17/2020,241
7/18/2020,69
7/19/2020,4
7/20/2020,151
7/21/2020,193
7/22/2020,174
7/23/2020,177
7/24/2020,182
7/25/2020,184
7/26/2020,150
7/27/2020,182
7/28/2020,203
7/29/2020,180
7/30/2020,181
7/31/2020,180
8/1/2020,163
8/2/2020,150
8/3/2020,183
8/4/2020,182
8/5/2020,186
8/6/2020,183
8/7/2020,180
8/8/2020,171
8/9/2020,155
8/10/2020,183
8/11/2020,164
8/12/2020,293
8/13/2020,215
8/14/2020,215
8/15/2020,190
8/16/2020,126
8/17/2020,183
8/18/2020,229
8/19/2020,248
8/20/2020,247
8/21/2020,268
8/22/2020,257
8/23/2020,144
8/24/2020,211
8/25/2020,215
8/26/2020,208
8/27/2020,208
8/28/2020,195
8/29/2020,194
8/30/2020,181
8/31/2020,221
9/1/2020,223
9/2/2020,225
9/3/2020,208
9/4/2020,216
9/5/2020,191
9/6/2020,192
9/7/2020,191
9/8/2020,176
9/9/2020,216
9/10/2020,366
9/11/2020,356
9/12/2020,223
9/13/2020,241
9/14/2020,402
9/15/2020,401
9/16/2020,326
9/17/2020,328
9/18/2020,310
9/19/2020,295
9/20/2020,209
9/21/2020,365
9/22/2020,428
9/23/2020,417
9/24/2020,488
9/25/2020,698
9/26/2020,688
9/27/2020,243
9/28/2020,615
9/29/2020,584
9/30/2020,440
10/1/2020,623
10/2/2020,611
10/3/2020,200
10/4/2020,206
10/5/2020,284
10/6/2020,226
10/7/2020,197
10/8/2020,190
10/9/2020,189
10/10/2020,152
10/11/2020,152
10/12/2020,151
10/13/2020,151
10/14/2020,162
10/15/2020,150
10/16/2020,150
10/17/2020,188
10/18/2020,121
10/19/2020,127
10/20/2020,146
10/21/2020,149
10/22/2020,132
10/23/2020,160
10/24/2020,132
10/25/2020,91
10/26/2020,129
10/27/2020,129
10/28/2020,130
10/29/2020,96
10/30/2020,122
10/31/2020,96
11/1/2020,129
11/2/2020,129
11/3/2020,139
11/4/2020,169
11/5/2020,164
11/6/2020,211
11/7/2020,168
11/8/2020,151
11/9/2020,152
11/10/2020,151
11/11/2020,155
11/12/2020,196
11/13/2020,96
11/14/2020,92
11/15/2020,159
11/16/2020,191
11/17/2020,164
11/18/2020,170
11/19/2020,167
11/20/2020,170
11/21/2020,164
11/22/2020,197
11/23/2020,239
11/24/2020,273
11/25/2020,211
11/26/2020,211
11/27/2020,144
11/28/2020,150
11/29/2020,149
11/30/2020,206
12/1/2020,434
12/2/2020,425
12/3/2020,436
12/4/2020,386
12/5/2020,410
12/6/2020,199
12/7/2020,298
12/8/2020,295
12/9/2020,226
12/10/2020,162
12/11/2020,160
12/12/2020,208
12/13/2020,182
12/14/2020,262
12/15/2020,424
12/16/2020,423
12/17/2020,370
12/18/2020,382
12/19/2020,377
12/20/2020,197
12/21/2020,244
12/22/2020,368
12/23/2020,374
12/24/2020,238
12/25/2020,229
12/26/2020,214
12/27/2020,226
12/28/2020,314
12/29/2020,287
12/30/2020,264
12/31/2020,265
